threshold,validation_f1
5.505919933319092,0.6679764243614931
5.612155707485704,0.6679764243614931
5.718391481652318,0.6679764243614931
5.82462725581893,0.6679764243614931
5.9308630299855425,0.6679764243614931
6.037098804152156,0.6692913385826772
6.143334578318768,0.6692913385826772
6.249570352485381,0.6692913385826772
6.355806126651994,0.6706114398422091
6.4620419008186065,0.6719367588932806
6.568277674985219,0.6719367588932806
6.674513449151831,0.6719367588932806
6.780749223318445,0.6719367588932806
6.886984997485057,0.6719367588932806
6.99322077165167,0.6719367588932806
7.099456545818283,0.6746031746031746
7.2056923199848955,0.6746031746031746
7.311928094151508,0.6759443339960238
7.418163868318121,0.6772908366533864
7.524399642484734,0.6772908366533864
7.630635416651346,0.6827309236947792
7.7368711908179595,0.6868686868686869
7.843106964984572,0.6896551724137931
7.949342739151184,0.6924643584521385
8.055578513317798,0.6952965235173824
8.161814287484411,0.6981519507186859
8.268050061651023,0.7039337474120083
8.374285835817636,0.7053941908713693
8.480521609984248,0.7068607068607069
8.58675738415086,0.7098121085594989
8.692993158317474,0.7157894736842105
8.799228932484088,0.7203389830508474
8.9054647066507,0.723404255319149
9.011700480817312,0.7249466950959488
9.117936254983924,0.7296137339055794
9.224172029150537,0.7327586206896551
9.33040780331715,0.734341252699784
9.436643577483764,0.7359307359307359
9.542879351650376,0.74235807860262
9.649115125816989,0.7494456762749445
9.7553508999836,0.7527839643652561
9.861586674150214,0.757847533632287
9.967822448316827,0.7647058823529411
10.07405822248344,0.7681818181818182
10.180293996650052,0.7734553775743707
10.286529770816665,0.7770114942528735
10.392765544983277,0.7770114942528735
10.49900131914989,0.7824074074074074
10.605237093316504,0.7915690866510539
10.711472867483117,0.7971698113207547
10.817708641649729,0.8028503562945368
10.923944415816342,0.8125
11.030180189982953,0.8203883495145631
11.136415964149567,0.8304668304668305
11.24265173831618,0.8407960199004975
11.348887512482793,0.8513853904282116
11.455123286649405,0.8600508905852418
11.561359060816018,0.8622448979591837
11.66759483498263,0.8688946015424165
11.773830609149243,0.8711340206185567
11.880066383315857,0.8756476683937824
11.98630215748247,0.8802083333333334
12.092537931649082,0.8941798941798942
12.198773705815695,0.896551724137931
12.305009479982306,0.9037433155080213
12.41124525414892,0.9061662198391421
12.517481028315533,0.9135135135135135
12.623716802482146,0.9260273972602739
12.729952576648758,0.9260273972602739
12.836188350815371,0.9260273972602739
