loss,val_loss
0.2713984549045563,0.26726654171943665
0.26896440982818604,0.2629143297672272
0.26403263211250305,0.25815194845199585
0.258073091506958,0.24993328750133514
0.24206571280956268,0.22243885695934296
0.20339472591876984,0.1812317669391632
0.16731926798820496,0.1570211797952652
0.14898869395256042,0.1417725831270218
0.13229559361934662,0.12484800815582275
0.11668917536735535,0.11250283569097519
0.10656371712684631,0.10481089353561401
0.10150505602359772,0.10079396516084671
0.09742942452430725,0.09807147085666656
0.09514870494604111,0.09595844894647598
0.09297912567853928,0.09413927793502808
0.09133995324373245,0.09271851927042007
0.08989537507295609,0.09135138243436813
0.08852022141218185,0.09013310819864273
0.08738395571708679,0.08908159285783768
0.0863385871052742,0.08808688074350357
0.08532360941171646,0.08711188286542892
0.084389828145504,0.08620452880859375
0.0835404172539711,0.08536893874406815
0.08272861689329147,0.0845651775598526
0.08192658424377441,0.0837441012263298
0.08115673810243607,0.0829174667596817
0.08041998744010925,0.08209802210330963
0.0797027051448822,0.08131107687950134
0.07897879928350449,0.08056673407554626
0.07826076447963715,0.079881452023983
0.07753404974937439,0.07929068803787231
0.07677744328975677,0.07866394519805908
0.07597827166318893,0.0777261033654213
0.07513051480054855,0.0768725648522377
0.07430701702833176,0.07595064491033554
0.07345176488161087,0.07498335838317871
0.07256573438644409,0.0740690603852272
0.07157839834690094,0.07313007116317749
0.07050124555826187,0.07203159481287003
0.06938699632883072,0.07058469206094742
0.06836570799350739,0.06917676329612732
0.06736118346452713,0.06838676333427429
0.06658461689949036,0.06789406388998032
0.06615226715803146,0.06724128127098083
0.06554774940013885,0.0668225884437561
0.06512527167797089,0.06632434576749802
0.06463957577943802,0.06585340946912766
0.0641811192035675,0.06544582545757294
0.06377164274454117,0.06502582132816315
0.0633634701371193,0.06464716047048569
