threshold,validation_accuracy,validation_precision,validation_recall,validation_f1
0.029272042,0.4970588235294118,0.49852507374631266,0.9941176470588236,0.6640471512770137
0.029662104,0.4970588235294118,0.49852507374631266,0.9941176470588236,0.6640471512770137
0.030052168,0.4970588235294118,0.49852507374631266,0.9941176470588236,0.6640471512770137
0.03044223,0.4970588235294118,0.49852507374631266,0.9941176470588236,0.6640471512770137
0.030832293,0.49411764705882355,0.4970414201183432,0.9882352941176471,0.6614173228346457
0.031222356,0.49411764705882355,0.4970414201183432,0.9882352941176471,0.6614173228346457
0.03161242,0.49411764705882355,0.4970414201183432,0.9882352941176471,0.6614173228346457
0.032002483,0.49411764705882355,0.4970414201183432,0.9882352941176471,0.6614173228346457
0.032392543,0.49411764705882355,0.4970414201183432,0.9882352941176471,0.6614173228346457
0.032782607,0.49411764705882355,0.4970414201183432,0.9882352941176471,0.6614173228346457
0.03317267,0.49411764705882355,0.4970414201183432,0.9882352941176471,0.6614173228346457
0.03356273,0.49117647058823527,0.49554896142433236,0.9823529411764705,0.6587771203155819
0.033952795,0.49117647058823527,0.49554896142433236,0.9823529411764705,0.6587771203155819
0.034342855,0.48823529411764705,0.49404761904761907,0.9764705882352941,0.6561264822134387
0.03473292,0.48823529411764705,0.49404761904761907,0.9764705882352941,0.6561264822134387
0.035122983,0.48823529411764705,0.49404761904761907,0.9764705882352941,0.6561264822134387
0.035513043,0.48823529411764705,0.49404761904761907,0.9764705882352941,0.6561264822134387
0.035903107,0.48823529411764705,0.49404761904761907,0.9764705882352941,0.6561264822134387
0.03629317,0.48823529411764705,0.49404761904761907,0.9764705882352941,0.6561264822134387
0.03668323,0.48823529411764705,0.49404761904761907,0.9764705882352941,0.6561264822134387
0.037073296,0.48823529411764705,0.49404761904761907,0.9764705882352941,0.6561264822134387
0.03746336,0.48823529411764705,0.49404761904761907,0.9764705882352941,0.6561264822134387
0.03785342,0.4852941176470588,0.4925373134328358,0.9705882352941176,0.6534653465346535
0.038243484,0.4852941176470588,0.4925373134328358,0.9705882352941176,0.6534653465346535
0.038633548,0.4852941176470588,0.4925373134328358,0.9705882352941176,0.6534653465346535
0.039023608,0.4823529411764706,0.49101796407185627,0.9647058823529412,0.6507936507936508
0.039413672,0.48823529411764705,0.4939759036144578,0.9647058823529412,0.6533864541832669
0.039803736,0.49117647058823527,0.4954682779456193,0.9647058823529412,0.654690618762475
0.040193796,0.5,0.5,0.9647058823529412,0.6586345381526104
0.04058386,0.5,0.5,0.9647058823529412,0.6586345381526104
0.040973924,0.5,0.5,0.9647058823529412,0.6586345381526104
0.041363984,0.5,0.5,0.9647058823529412,0.6586345381526104
0.04175405,0.4970588235294118,0.4984709480122324,0.9588235294117647,0.6559356136820925
0.042144112,0.49117647058823527,0.49538461538461537,0.9470588235294117,0.6505050505050505
0.042534173,0.49117647058823527,0.49538461538461537,0.9470588235294117,0.6505050505050505
0.042924237,0.49411764705882355,0.49691358024691357,0.9470588235294117,0.6518218623481782
0.0433143,0.49411764705882355,0.49691358024691357,0.9470588235294117,0.6518218623481782
0.04370436,0.4970588235294118,0.4984520123839009,0.9470588235294117,0.6531440162271805
0.044094425,0.4970588235294118,0.4984423676012461,0.9411764705882353,0.6517311608961304
0.04448449,0.4970588235294118,0.4984423676012461,0.9411764705882353,0.6517311608961304
0.04487455,0.49411764705882355,0.496875,0.9352941176470588,0.6489795918367347
0.045264613,0.49411764705882355,0.4968553459119497,0.9294117647058824,0.6475409836065574
0.045654677,0.49411764705882355,0.4968553459119497,0.9294117647058824,0.6475409836065574
0.046044737,0.49117647058823527,0.4952681388012618,0.9235294117647059,0.6447638603696099
0.0464348,0.49411764705882355,0.49683544303797467,0.9235294117647059,0.6460905349794238
0.046824865,0.49411764705882355,0.49683544303797467,0.9235294117647059,0.6460905349794238
0.047214925,0.49117647058823527,0.49523809523809526,0.9176470588235294,0.643298969072165
0.04760499,0.49411764705882355,0.4968152866242038,0.9176470588235294,0.6446280991735537
0.047995053,0.5,0.5,0.9176470588235294,0.6473029045643154
0.048385113,0.49411764705882355,0.4967741935483871,0.9058823529411765,0.6416666666666667
0.048775177,0.49411764705882355,0.4967741935483871,0.9058823529411765,0.6416666666666667
0.04916524,0.49411764705882355,0.4967741935483871,0.9058823529411765,0.6416666666666667
0.0495553,0.49117647058823527,0.49508196721311476,0.888235294117647,0.6357894736842106
0.049945366,0.49117647058823527,0.49508196721311476,0.888235294117647,0.6357894736842106
0.05033543,0.49411764705882355,0.4967105263157895,0.888235294117647,0.6371308016877637
0.05072549,0.49411764705882355,0.4966442953020134,0.8705882352941177,0.6324786324786325
0.051115554,0.4852941176470588,0.4915254237288136,0.8529411764705882,0.6236559139784946
0.051505618,0.4852941176470588,0.4915254237288136,0.8529411764705882,0.6236559139784946
0.051895678,0.48823529411764705,0.4931506849315068,0.8470588235294118,0.6233766233766234
0.05228574,0.4823529411764706,0.4895833333333333,0.8294117647058824,0.6157205240174672
0.052675806,0.47941176470588237,0.48771929824561405,0.8176470588235294,0.610989010989011
0.053065866,0.47941176470588237,0.4875444839857651,0.8058823529411765,0.6075388026607539
0.053455926,0.47352941176470587,0.48375451263537905,0.788235294117647,0.5995525727069351
0.053845994,0.47352941176470587,0.48363636363636364,0.7823529411764706,0.597752808988764
0.054236054,0.4647058823529412,0.47794117647058826,0.7647058823529411,0.5882352941176471
0.054626115,0.4647058823529412,0.47794117647058826,0.7647058823529411,0.5882352941176471
0.055016182,0.46176470588235297,0.4756554307116105,0.7470588235294118,0.5812356979405034
0.055406243,0.4676470588235294,0.4789272030651341,0.7352941176470589,0.580046403712297
0.055796303,0.47352941176470587,0.4826254826254826,0.7352941176470589,0.5827505827505828
0.05618637,0.4764705882352941,0.484251968503937,0.7235294117647059,0.5801886792452831
0.05657643,0.4764705882352941,0.484,0.711764705882353,0.5761904761904761
0.05696649,0.4852941176470588,0.4897959183673469,0.7058823529411765,0.5783132530120482
0.057356555,0.48823529411764705,0.49173553719008267,0.7,0.5776699029126213
0.05774662,0.4823529411764706,0.4875,0.6882352941176471,0.5707317073170731
0.05813668,0.48823529411764705,0.49145299145299143,0.6764705882352942,0.5693069306930693
0.058526743,0.49117647058823527,0.49344978165938863,0.6647058823529411,0.5664160401002506
0.058916807,0.5058823529411764,0.5045454545454545,0.6529411764705882,0.5692307692307692
0.059306867,0.5176470588235295,0.5138888888888888,0.6529411764705882,0.5751295336787565
0.05969693,0.5088235294117647,0.5070422535211268,0.6352941176470588,0.5639686684073107
0.060086995,0.5088235294117647,0.5071090047393365,0.6294117647058823,0.5616797900262467
0.060477056,0.5058823529411764,0.5048543689320388,0.611764705882353,0.5531914893617021
0.06086712,0.5088235294117647,0.5074626865671642,0.6,0.5498652291105122
0.061257184,0.5176470588235295,0.5153061224489796,0.5941176470588235,0.5519125683060109
0.061647244,0.5147058823529411,0.5129533678756477,0.5823529411764706,0.5454545454545454
0.062037308,0.5117647058823529,0.5106382978723404,0.5647058823529412,0.5363128491620112
0.06242737,0.5117647058823529,0.510989010989011,0.5470588235294118,0.5284090909090909
0.06281743,0.5058823529411764,0.5056179775280899,0.5294117647058824,0.5172413793103449
0.06320749,0.5029411764705882,0.5029940119760479,0.49411764705882355,0.49851632047477745
0.06359756,0.5117647058823529,0.5121951219512195,0.49411764705882355,0.5029940119760479
0.06398762,0.5176470588235295,0.5189873417721519,0.4823529411764706,0.5
0.06437768,0.5117647058823529,0.5128205128205128,0.47058823529411764,0.49079754601226994
0.06476775,0.5176470588235295,0.52,0.4588235294117647,0.4875
0.06515781,0.5205882352941177,0.5238095238095238,0.45294117647058824,0.48580441640378547
0.06554787,0.5205882352941177,0.5241379310344828,0.4470588235294118,0.48253968253968255
0.06593794,0.5176470588235295,0.5214285714285715,0.4294117647058823,0.47096774193548385
0.066328,0.5147058823529411,0.5182481751824818,0.4176470588235294,0.46254071661237783
0.06671806,0.5205882352941177,0.5263157894736842,0.4117647058823529,0.46204620462046203
0.067108124,0.5147058823529411,0.5190839694656488,0.4,0.45182724252491696
0.067498185,0.5088235294117647,0.512,0.3764705882352941,0.43389830508474575
0.067888245,0.5058823529411764,0.5080645161290323,0.37058823529411766,0.42857142857142855
0.06827831,0.5147058823529411,0.5213675213675214,0.3588235294117647,0.4250871080139373
0.06866837,0.5117647058823529,0.5175438596491229,0.34705882352941175,0.4154929577464789
0.06905843,0.5117647058823529,0.5181818181818182,0.3352941176470588,0.40714285714285714
0.0694485,0.5117647058823529,0.5192307692307693,0.3176470588235294,0.39416058394160586
0.06983856,0.5088235294117647,0.5145631067961165,0.31176470588235294,0.3882783882783883
0.07022862,0.5147058823529411,0.5247524752475248,0.31176470588235294,0.39114391143911437
0.07061869,0.5117647058823529,0.52,0.3058823529411765,0.3851851851851852
0.07100875,0.5088235294117647,0.5154639175257731,0.29411764705882354,0.37453183520599254
0.07139881,0.5088235294117647,0.5154639175257731,0.29411764705882354,0.37453183520599254
0.07178888,0.5088235294117647,0.5164835164835165,0.27647058823529413,0.36015325670498083
0.07217894,0.5058823529411764,0.5111111111111111,0.27058823529411763,0.35384615384615387
0.072569,0.5058823529411764,0.5111111111111111,0.27058823529411763,0.35384615384615387
0.072959065,0.5029411764705882,0.5057471264367817,0.25882352941176473,0.3424124513618677
0.073349126,0.5058823529411764,0.5121951219512195,0.24705882352941178,0.3333333333333333
0.073739186,0.5088235294117647,0.5189873417721519,0.2411764705882353,0.3293172690763052
0.07412925,0.5147058823529411,0.5333333333333333,0.23529411764705882,0.32653061224489793
0.074519314,0.5235294117647059,0.5571428571428572,0.22941176470588234,0.325
0.074909374,0.5235294117647059,0.5588235294117647,0.2235294117647059,0.31932773109243695
0.07529944,0.5235294117647059,0.5606060606060606,0.21764705882352942,0.3135593220338983
0.0756895,0.5205882352941177,0.5538461538461539,0.21176470588235294,0.30638297872340425
0.07607956,0.5205882352941177,0.5555555555555556,0.20588235294117646,0.30042918454935624
0.07646963,0.5235294117647059,0.5645161290322581,0.20588235294117646,0.3017241379310345
