Model,ROC_AUC,Average_Precision
KNN,0.9938754325259516,0.979401465280805
Isolation Forest,0.9922837370242215,0.985851863720496
MLP,0.9937716262975779,0.9877380401595631
Autoencoder,0.4918339100346021,0.507406093822027
