accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0.655544638633728,0.6184966564178467,0.6200608015060425,0.8015717267990112,0.9147058725357056,0.4032433032989502,0.8730158805847168,0.970588207244873
0.8783120512962341,0.3251628875732422,0.853210985660553,0.9135559797286987,0.979411780834198,0.24503649771213531,0.9822485446929932,0.9764705896377563
0.9313052296638489,0.23144888877868652,0.9180952310562134,0.9469547867774963,0.9823529124259949,0.16715110838413239,0.988095223903656,0.9764705896377563
0.9362119436264038,0.19491417706012726,0.9404761791229248,0.9312376976013184,0.9823529124259949,0.12573374807834625,0.9939758777618408,0.970588207244873
0.9568204283714294,0.14160369336605072,0.9497098922729492,0.9646365642547607,0.979411780834198,0.10242411494255066,0.9939393997192383,0.9647058844566345
0.9685966372489929,0.12636129558086395,0.976047933101654,0.9607072472572327,0.9823529124259949,0.08855769038200378,0.9939758777618408,0.970588207244873
0.9695780277252197,0.12134496867656708,0.9760956168174744,0.9626718759536743,0.9823529124259949,0.07981426268815994,0.9939758777618408,0.970588207244873
0.9705593585968018,0.11621826887130737,0.9705304503440857,0.9705304503440857,0.9852941036224365,0.0733056291937828,0.9940119981765747,0.9764705896377563
0.9764475226402283,0.10082006454467773,0.9727095365524292,0.9803536534309387,0.9852941036224365,0.06834030896425247,0.9940119981765747,0.9764705896377563
0.9803729057312012,0.07844840735197067,0.9841583967208862,0.9764243364334106,0.9852941036224365,0.06465049088001251,0.9940119981765747,0.9764705896377563
0.9793915748596191,0.07662169635295868,0.9822134375572205,0.9764243364334106,0.9882352948188782,0.06093887984752655,0.9940476417541504,0.9823529124259949
0.9803729057312012,0.07379190623760223,0.9766082167625427,0.984282910823822,0.9882352948188782,0.058449432253837585,0.9940476417541504,0.9823529124259949
0.98233562707901,0.06828400492668152,0.9785575270652771,0.9862475395202637,0.9882352948188782,0.05622223764657974,0.9940476417541504,0.9823529124259949
0.9852796792984009,0.060045886784791946,0.982421875,0.9882121682167053,0.9882352948188782,0.05440083518624306,0.9940476417541504,0.9823529124259949
0.9882237315177917,0.05572819709777832,0.9825242757797241,0.994106113910675,0.9882352948188782,0.05280952528119087,0.9940476417541504,0.9823529124259949
0.9921491742134094,0.04547692462801933,0.9902152419090271,0.994106113910675,0.9882352948188782,0.05219029635190964,0.9940476417541504,0.9823529124259949
0.9950932264328003,0.04179174080491066,0.9960629940032959,0.994106113910675,0.9882352948188782,0.05075133964419365,0.9940476417541504,0.9823529124259949
0.9901864528656006,0.04165833070874214,0.990176796913147,0.990176796913147,0.9882352948188782,0.049596309661865234,0.9940476417541504,0.9823529124259949
0.9921491742134094,0.03859126195311546,0.9940828680992126,0.990176796913147,0.9882352948188782,0.04871783033013344,0.9940476417541504,0.9823529124259949
0.9921491742134094,0.039145953953266144,0.9902152419090271,0.994106113910675,0.9882352948188782,0.04846952110528946,0.9940476417541504,0.9823529124259949
0.9950932264328003,0.033095188438892365,0.9941176176071167,0.9960707426071167,0.9882352948188782,0.047838158905506134,0.9940476417541504,0.9823529124259949
0.9950932264328003,0.02996661514043808,0.9941176176071167,0.9960707426071167,0.9882352948188782,0.04666713997721672,0.9940476417541504,0.9823529124259949
0.9921491742134094,0.031936682760715485,0.988304078578949,0.9960707426071167,0.9882352948188782,0.04647328704595566,0.9940476417541504,0.9823529124259949
0.9970559477806091,0.025808831676840782,0.994140625,1.0,0.9882352948188782,0.04644489660859108,0.9940476417541504,0.9823529124259949
0.9970559477806091,0.024578280746936798,0.9960784316062927,0.9980353713035583,0.9882352948188782,0.04635776951909065,0.9940476417541504,0.9823529124259949
0.9960745573043823,0.02363315410912037,0.9922027587890625,1.0,0.9882352948188782,0.04634874686598778,0.9940476417541504,0.9823529124259949
0.9970559477806091,0.023486243560910225,0.9960784316062927,0.9980353713035583,0.9882352948188782,0.04657928645610809,0.9940476417541504,0.9823529124259949
0.9970559477806091,0.022950785234570503,0.994140625,1.0,0.9882352948188782,0.046845629811286926,0.9940476417541504,0.9823529124259949
0.999018669128418,0.020681602880358696,0.998039186000824,1.0,0.9882352948188782,0.04674066975712776,0.9940476417541504,0.9823529124259949
0.9980372786521912,0.021511951461434364,0.9960861206054688,1.0,0.9882352948188782,0.04689459502696991,0.9940476417541504,0.9823529124259949
0.9960745573043823,0.021624980494379997,0.9960707426071167,0.9960707426071167,0.9882352948188782,0.04641580209136009,0.9940476417541504,0.9823529124259949
0.9970559477806091,0.01678355783224106,0.9960784316062927,0.9980353713035583,0.9882352948188782,0.046971291303634644,0.9940476417541504,0.9823529124259949
0.999018669128418,0.014783527702093124,0.998039186000824,1.0,0.9882352948188782,0.047179579734802246,0.9940476417541504,0.9823529124259949
0.9970559477806091,0.017303267493844032,0.998031497001648,0.9960707426071167,0.9882352948188782,0.047338761389255524,0.9940476417541504,0.9823529124259949
