Model,Accuracy,Precision_Anomaly,Recall_Anomaly_TPR,F1_Anomaly,False_Positive_Rate,ROC_AUC,Average_Precision,TN,FP,FN,TP
KNN Distance Threshold,0.9852941176470589,0.9714285714285714,1.0,0.9855072463768116,0.029411764705882353,0.9938754325259516,0.979401465280805,165,5,0,170
Isolation Forest,0.9794117647058823,0.9710982658959537,0.9882352941176471,0.9795918367346939,0.029411764705882353,0.9922837370242215,0.985851863720496,165,5,2,168
